Strain,Stress,YoungsModulus,TensileStrength
0.008292,4979999.999999999,75691023.47856003,10030000.0
0.009029,4979999.999999999,75691023.47856003,10030000.0
0.009716,5480000.0,75691023.47856003,10030000.0
0.009839,5310000.0,75691023.47856003,10030000.0
0.010088,4979999.999999999,75691023.47856003,10030000.0
0.010154,5230000.0,75691023.47856003,10030000.0
0.010231,4979999.999999999,75691023.47856003,10030000.0
0.010556,5150000.0,75691023.47856003,10030000.0
0.010583,5730000.0,75691023.47856003,10030000.0
0.010798,5230000.0,75691023.47856003,10030000.0
0.011092,5150000.0,75691023.47856003,10030000.0
0.011378,5150000.0,75691023.47856003,10030000.0
0.011435,6139999.999999999,75691023.47856003,10030000.0
0.011753,5640000.0,75691023.47856003,10030000.0
0.012285,5559999.999999999,75691023.47856003,10030000.0
0.012563,6390000.0,75691023.47856003,10030000.0
0.01272,5390000.0,75691023.47856003,10030000.0
0.012905,5390000.0,75691023.47856003,10030000.0
0.012967,5310000.0,75691023.47856003,10030000.0
0.013137,4979999.999999999,75691023.47856003,10030000.0
0.013487,5890000.0,75691023.47856003,10030000.0
0.013651,5640000.0,75691023.47856003,10030000.0
0.013709,5559999.999999999,75691023.47856003,10030000.0
0.013851,7380000.0,75691023.47856003,10030000.0
0.014205,7879999.999999999,75691023.47856003,10030000.0
0.014271,6310000.0,75691023.47856003,10030000.0
0.014437,6719999.999999999,75691023.47856003,10030000.0
0.014552,5970000.0,75691023.47856003,10030000.0
0.014911,5310000.0,75691023.47856003,10030000.0
0.014928,6060000.0,75691023.47856003,10030000.0
0.01516,5150000.0,75691023.47856003,10030000.0
0.015268,5890000.0,75691023.47856003,10030000.0
0.015437,5640000.0,75691023.47856003,10030000.0
0.015642,6139999.999999999,75691023.47856003,10030000.0
0.015749,6310000.0,75691023.47856003,10030000.0
0.015945,6470000.0,75691023.47856003,10030000.0
0.016109,6060000.0,75691023.47856003,10030000.0
0.016236,7380000.0,75691023.47856003,10030000.0
0.016366,6719999.999999999,75691023.47856003,10030000.0
0.016439,6640000.0,75691023.47856003,10030000.0
0.016755,6060000.0,75691023.47856003,10030000.0
0.017071,7050000.0,75691023.47856003,10030000.0
0.017124,7050000.0,75691023.47856003,10030000.0
0.01737,6880000.0,75691023.47856003,10030000.0
0.017372,6719999.999999999,75691023.47856003,10030000.0
0.017647,6970000.0,75691023.47856003,10030000.0
0.017841,6220000.0,75691023.47856003,10030000.0
0.017957,7130000.0,75691023.47856003,10030000.0
0.01809,6970000.0,75691023.47856003,10030000.0
0.018318,6220000.0,75691023.47856003,10030000.0
0.018422,6800000.0,75691023.47856003,10030000.0
0.018679,7630000.0,75691023.47856003,10030000.0
0.018825,6880000.0,75691023.47856003,10030000.0
0.019094,8369999.999999999,75691023.47856003,10030000.0
0.019255,6800000.0,75691023.47856003,10030000.0
0.019348,6139999.999999999,75691023.47856003,10030000.0
0.019632,8210000.0,75691023.47856003,10030000.0
0.01964,8040000.0,75691023.47856003,10030000.0
0.019904,7960000.0,75691023.47856003,10030000.0
0.020176,7710000.0,75691023.47856003,10030000.0
0.020266,7220000.0,75691023.47856003,10030000.0
0.020499,7130000.0,75691023.47856003,10030000.0
0.020705,7050000.0,75691023.47856003,10030000.0
0.020809,6550000.0,75691023.47856003,10030000.0
0.021128,6880000.0,75691023.47856003,10030000.0
0.021158,6470000.0,75691023.47856003,10030000.0
0.021478,6220000.0,75691023.47856003,10030000.0
0.021546,6800000.0,75691023.47856003,10030000.0
0.021881,6880000.0,75691023.47856003,10030000.0
0.022171,5730000.0,75691023.47856003,10030000.0
0.022336,7460000.0,75691023.47856003,10030000.0
0.022392,7050000.0,75691023.47856003,10030000.0
0.022721,7380000.0,75691023.47856003,10030000.0
0.022862,7130000.0,75691023.47856003,10030000.0
0.023027,6719999.999999999,75691023.47856003,10030000.0
0.023322,7630000.0,75691023.47856003,10030000.0
0.023372,7380000.0,75691023.47856003,10030000.0
0.023737,6220000.0,75691023.47856003,10030000.0
0.024127,7220000.0,75691023.47856003,10030000.0
0.024162,7710000.0,75691023.47856003,10030000.0
0.024396,7050000.0,75691023.47856003,10030000.0
0.024491,7879999.999999999,75691023.47856003,10030000.0
0.024683,8460000.0,75691023.47856003,10030000.0
0.025022,6310000.0,75691023.47856003,10030000.0
0.025346,7299999.999999999,75691023.47856003,10030000.0
0.025353,8460000.0,75691023.47856003,10030000.0
0.025726,8460000.0,75691023.47856003,10030000.0
